category,Positive results
Sun Nov 22 2020,5.8
Mon Nov 23 2020,5.8
Tue Nov 24 2020,5.8
Wed Nov 25 2020,5.8
Thu Nov 26 2020,5.7
Fri Nov 27 2020,5.8
Sat Nov 28 2020,5.9
Sun Nov 29 2020,6
Mon Nov 30 2020,6.1
Tue Dec 01 2020,6.1
Wed Dec 02 2020,6
Thu Dec 03 2020,6
